date,class,professor,prof_g_p,q_or_a,student_g_p,time,cont_call,number_m_p,number_w_p
10/22/18,206,Allison,w,q,w,3,0,,
10/24/18,206,Allison,w,q,m,1,0,,
10/24/18,206,Allison,w,a,w,1,0,,
10/24/18,206,Allison,w,q,m,1,0,,
10/24/18,206,Allison,w,q,w,1,0,,
10/24/18,206,Allison,w,q,w,1,0,,
10/24/18,206,Allison,w,a,w,1,0,,
10/24/18,206,Allison,w,q,w,1,0,,
10/24/18,206,Allison,w,a,w,1,0,,
10/24/18,206,Allison,w,a,w,1,0,,
10/24/18,206,Allison,w,q,m,1,0,,
10/24/18,206,Allison,w,q,w,2,0,,
10/24/18,206,Allison,w,q,m,2,0,,
10/24/18,206,Allison,w,q,m,2,0,,
10/24/18,206,Allison,w,q,w,2,0,,
10/24/18,206,Allison,w,q,m,2,0,,
10/24/18,206,Allison,w,q,m,2,0,,
10/24/18,206,Allison,w,q,m,2,0,,
10/24/18,206,Allison,w,q,m,2,0,,
10/24/18,206,Allison,w,q,m,2,0,,
10/24/18,206,Allison,w,q,m,3,0,,
10/24/18,206,Allison,w,q,m,3,0,,
10/24/18,206,Allison,w,q,m,3,1,1,1
10/24/18,206,Allison,w,q,w,3,0,,
10/24/18,206,Allison,w,q,w,3,0,,
10/24/18,206,Allison,w,q,m,3,0,,
10/24/18,206,Allison,w,q,w,3,0,,
10/24/18,206,Allison,w,q,m,3,0,,
10/24/18,206,Allison,w,q,w,3,0,,
10/24/18,206,Allison,w,q,w,3,0,,
10/24/18,206,Allison,w,q,w,3,0,,
10/31/18,206,Allison,w,q,m,1,0,,
10/31/18,206,Allison,w,q,m,1,0,,
10/31/18,206,Allison,w,q,m,1,0,,
10/31/18,206,Allison,w,a,m,1,0,,
10/31/18,206,Allison,w,q,m,1,0,,
10/31/18,206,Allison,w,q,w,1,0,,
10/31/18,206,Allison,w,q,m,1,0,,
10/31/18,206,Allison,w,q,w,2,0,,
10/31/18,206,Allison,w,q,m,2,0,,
10/31/18,206,Allison,w,q,m,2,0,,
10/31/18,206,Allison,w,a,w,2,0,,
10/31/18,206,Allison,w,a,w,2,0,,
10/31/18,206,Allison,w,q,w,3,0,,
10/31/18,206,Allison,w,q,w,3,0,,
10/31/18,206,Allison,w,q,w,3,0,,
10/31/18,206,Allison,w,q,w,3,0,,
10/31/18,206,Allison,w,q,m,3,0,,
10/31/18,206,Allison,w,q,m,3,0,,
10/31/18,206,Allison,w,q,w,3,0,,
10/31/18,206,Allison,w,q,m,3,0,,
10/31/18,206,Allison,w,q,w,1,0,,
11/5/18,206,Allison,w,q,w,1,0,,
11/5/18,206,Allison,w,q,m,1,0,,
11/5/18,206,Allison,w,q,m,1,0,,
11/5/18,206,Allison,w,q,w,2,0,,
11/5/18,206,Allison,w,a,w,2,0,,
11/5/18,206,Allison,w,q,w,3,0,,
11/5/18,206,Allison,w,q,w,3,0,,
11/5/18,206,Allison,w,q,w,3,0,,
11/5/18,206,Allison,w,q,w,3,0,,
11/5/18,206,Allison,w,q,w,3,0,,
11/5/18,206,Allison,w,q,w,3,0,,
11/7/18,206,Allison,w,q,w,1,0,,
11/7/18,206,Allison,w,q,m,1,0,,
11/7/18,206,Allison,w,q,w,1,0,,
11/7/18,206,Allison,w,q,w,1,0,,
11/7/18,206,Allison,w,q,m,2,0,,
11/7/18,206,Allison,w,q,w,3,0,,
11/7/18,206,Allison,w,q,w,3,0,,
11/7/18,206,Allison,w,a,m,3,0,,
11/7/18,206,Allison,w,a,w,3,1,1,1
11/7/18,206,Allison,w,a,m,3,1,1,1
11/14/18,206,Allison,w,q,m,1,0,,
11/14/18,206,Allison,w,q,m,1,0,,
11/14/18,206,Allison,w,q,w,1,0,,
11/14/18,206,Allison,w,a,m,1,0,,
11/14/18,206,Allison,w,q,w,1,0,,
11/14/18,206,Allison,w,q,w,1,0,,
11/14/18,206,Allison,w,q,w,2,0,,
11/14/18,206,Allison,w,q,m,2,0,,
11/14/18,206,Allison,w,q,w,2,0,,
11/14/18,206,Allison,w,q,m,2,0,,
11/14/18,206,Allison,w,a,w,2,0,,
11/14/18,206,Allison,w,a,m,2,0,,
11/14/18,206,Allison,w,q,m,2,0,,
